Time,name,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1649556736.8182857,arm,-0.016873789951205254,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.818478,arm,-0.015339808538556099,-0.2577087879180908,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.8356225,arm,-0.015339808538556099,-0.2577087879180908,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.8557165,arm,-0.015339808538556099,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.8755987,arm,-0.015339808538556099,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.8956108,arm,-0.016873789951205254,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.9155948,arm,-0.015339808538556099,-0.2577087879180908,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.935591,arm,-0.015339808538556099,-0.2577087879180908,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.9556448,arm,-0.015339808538556099,-0.2577087879180908,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.975587,arm,-0.016873789951205254,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556736.9955714,arm,-0.016873789951205254,-0.25617480278015137,0.2592427730560303,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.0155935,arm,-0.016873789951205254,-0.2577087879180908,0.26077672839164734,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.0356424,arm,-0.016873789951205254,-0.2577087879180908,0.26077672839164734,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.0556388,arm,-0.015339808538556099,-0.25617480278015137,0.26384469866752625,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.0755754,arm,-0.016873789951205254,-0.2577087879180908,0.26384469866752625,0.08130098134279251,1.5784662961959839,-0.18100973963737488
1649556737.0955367,arm,-0.016873789951205254,-0.2577087879180908,0.26691266894340515,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.115536,arm,-0.016873789951205254,-0.2577087879180908,0.26691266894340515,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.1355267,arm,-0.015339808538556099,-0.2577087879180908,0.2684466540813446,0.08130098134279251,1.5769323110580444,-0.18100973963737488
1649556737.155585,arm,-0.016873789951205254,-0.25617480278015137,0.2684466540813446,0.08130098134279251,1.5769323110580444,-0.18100973963737488
