Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,cam1_marker.header.seq,cam1_marker.header.stamp.secs,cam1_marker.header.stamp.nsecs,cam1_marker.header.frame_id,cam1_marker.id,cam1_marker.time,cam1_marker.confidence,cam1_marker.pose.header.seq,cam1_marker.pose.header.stamp.secs,cam1_marker.pose.header.stamp.nsecs,cam1_marker.pose.header.frame_id,cam1_marker.pose.pose.position.x,cam1_marker.pose.pose.position.y,cam1_marker.pose.pose.position.z,cam1_marker.pose.pose.orientation.x,cam1_marker.pose.pose.orientation.y,cam1_marker.pose.pose.orientation.z,cam1_marker.pose.pose.orientation.w,cam2_marker.header.seq,cam2_marker.header.stamp.secs,cam2_marker.header.stamp.nsecs,cam2_marker.header.frame_id,cam2_marker.id,cam2_marker.time,cam2_marker.confidence,cam2_marker.pose.header.seq,cam2_marker.pose.header.stamp.secs,cam2_marker.pose.header.stamp.nsecs,cam2_marker.pose.header.frame_id,cam2_marker.pose.pose.position.x,cam2_marker.pose.pose.position.y,cam2_marker.pose.pose.position.z,cam2_marker.pose.pose.orientation.x,cam2_marker.pose.pose.orientation.y,cam2_marker.pose.pose.orientation.z,cam2_marker.pose.pose.orientation.w,cam3_marker.header.seq,cam3_marker.header.stamp.secs,cam3_marker.header.stamp.nsecs,cam3_marker.header.frame_id,cam3_marker.id,cam3_marker.time,cam3_marker.confidence,cam3_marker.pose.header.seq,cam3_marker.pose.header.stamp.secs,cam3_marker.pose.header.stamp.nsecs,cam3_marker.pose.header.frame_id,cam3_marker.pose.pose.position.x,cam3_marker.pose.pose.position.y,cam3_marker.pose.pose.position.z,cam3_marker.pose.pose.orientation.x,cam3_marker.pose.pose.orientation.y,cam3_marker.pose.pose.orientation.z,cam3_marker.pose.pose.orientation.w,avg_marker.header.seq,avg_marker.header.stamp.secs,avg_marker.header.stamp.nsecs,avg_marker.header.frame_id,avg_marker.id,avg_marker.time,avg_marker.confidence,avg_marker.pose.header.seq,avg_marker.pose.header.stamp.secs,avg_marker.pose.header.stamp.nsecs,avg_marker.pose.header.frame_id,avg_marker.pose.pose.position.x,avg_marker.pose.pose.position.y,avg_marker.pose.pose.position.z,avg_marker.pose.pose.orientation.x,avg_marker.pose.pose.orientation.y,avg_marker.pose.pose.orientation.z,avg_marker.pose.pose.orientation.w,joint_states.header.seq,joint_states.header.stamp.secs,joint_states.header.stamp.nsecs,joint_states.header.frame_id,joint_states.name,joint_states.position,joint_states.velocity,joint_states.effort
1652336233.2621608,0,0,0,,581,1652336233,213754416,wx250s/base_link,0,1652336233.2137544,0,0,0,0,,0.4660722706520991,0.0021437197901224437,0.15439865181819468,0.05885803779500498,0.04941107521073737,0.775074167685792,0.627179648601274,586,1652336233,211694956,wx250s/base_link,0,1652336233.211695,0,0,0,0,,0.46858255362612644,-0.0028980253506749806,0.15985051075457102,0.020489139142025024,0.12087766517208533,0.7724473542744124,0.6231323054650789,445,1652336233,204006433,wx250s/base_link,0,1652336233.2040064,0,0,0,0,,0.4747133680598383,-0.002344765875776214,0.15981890845961333,0.04693876347152294,0.03711962783064401,0.7793611108709946,0.6237107860021406,0,0,0,,0,1652336233.2098186,0,0,0,0,,0.4697893974460213,-0.0010330238121095837,0.15802269034412633,0.04209531346951765,0.06913612273782224,0.7756275442770663,0.6246742466894979,2367,1652336233,196497224,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.0076699042692780495, -0.20862139761447906, 0.8467574119567871, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.3221402,1,0,0,,582,1652336233,247352123,wx250s/base_link,0,1652336233.2473521,0,0,0,0,,0.4657851328686601,0.002136303894151719,0.15413089069561392,0.057331981193358764,0.052046743469930455,0.7747752381448963,0.6274770998085419,587,1652336233,245293856,wx250s/base_link,0,1652336233.2452939,0,0,0,0,,0.4684059024880879,-0.002977343621599071,0.15936567766718407,0.08932812675453845,0.05928766469528217,0.7701933804762735,0.6287349324286313,446,1652336233,237605095,wx250s/base_link,0,1652336233.237605,0,0,0,0,,0.4748051971600688,-0.0022974866025812224,0.1597865226309768,0.04607366499683285,0.03750401876233434,0.7799799769364009,0.6229782512646213,0,0,0,,0,1652336233.243417,0,0,0,0,,0.4696654108389389,-0.0010461754433428582,0.15776103033125827,0.06424459098157669,0.049612808975848986,0.7749828651858568,0.6263967611672648,2371,1652336233,236444503,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.20862139761447906, 0.8482913970947266, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.342019,2,0,0,,583,1652336233,280949593,wx250s/base_link,0,1652336233.2809496,0,0,0,0,,0.46602439818416563,0.0021558975560910087,0.15314895533666306,0.05751157184089169,0.05007904034655523,0.7740147628578157,0.62855839482145,588,1652336233,278892756,wx250s/base_link,0,1652336233.2788928,0,0,0,0,,0.4684344159873992,-0.0027358822536407423,0.16179319873125125,0.11068859938183369,0.05966638985019028,0.7714902000872242,0.6236912914723981,447,1652336233,271203518,wx250s/base_link,0,1652336233.2712035,0,0,0,0,,0.47406575141119234,-0.0024401852673522073,0.15866225990845162,0.049527929333943725,0.03749600224457571,0.7788479771416549,0.6241288829512052,0,0,0,,0,1652336233.277015,0,0,0,0,,0.46950818852758575,-0.0010067233216339802,0.157868137992122,0.07257603351888971,0.0490804774804404,0.7747843133622316,0.6254595230816844,2375,1652336233,276442951,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.0076699042692780495, -0.20862139761447906, 0.8482913970947266, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.3821907,3,0,0,,584,1652336233,314547300,wx250s/base_link,0,1652336233.3145473,0,0,0,0,,0.4660426589254255,0.0022971067310745188,0.15203116331831712,0.054924897313095265,0.050162737019241385,0.7733738075732338,0.629571210610494,589,1652336233,312491655,wx250s/base_link,0,1652336233.3124917,0,0,0,0,,0.46788252993086704,-0.0028034419629010404,0.1575764645571716,0.06129617471079307,0.059476083567786664,0.774543682088011,0.6267275795645249,448,1652336233,304802179,wx250s/base_link,0,1652336233.3048022,0,0,0,0,,0.47409344483684773,-0.002266778858579649,0.1583129596435625,0.04984216035315218,0.03624176266520634,0.7783584012244916,0.6247883585131072,0,0,0,,0,1652336233.3106136,0,0,0,0,,0.46933954456438004,-0.0009243713634687235,0.15597352917301707,0.05535441079234684,0.04862686108407813,0.7754252969619122,0.6270290495627088,2379,1652336233,316464310,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.2070874124765396, 0.849825382232666, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.4221976,4,0,0,,585,1652336233,348145008,wx250s/base_link,0,1652336233.348145,0,0,0,0,,0.4656579430872987,0.002872993252385136,0.15012289482355828,0.055364979351119045,0.05025782502792982,0.7744419738808345,0.6282105532195947,590,1652336233,346090555,wx250s/base_link,0,1652336233.3460906,0,0,0,0,,0.46767656366593224,-0.002356501018939,0.15651866913643464,0.07184784807511926,0.053765130239773015,0.7745862413405423,0.6260697662586864,449,1652336233,338400841,wx250s/base_link,0,1652336233.3384008,0,0,0,0,,0.4746308699683197,-0.001772870812873882,0.1577256731665579,0.0476176064163102,0.03526980914187248,0.7782806658769518,0.6251142369554592,0,0,0,,0,1652336233.3442123,0,0,0,0,,0.4693217922405169,-0.00041879285980924867,0.1547890790421836,0.058276811280849494,0.04643092146985844,0.7757696270327762,0.6264648521445801,2381,1652336233,336432374,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.2070874124765396, 0.8513593673706055, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.023980824276804924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.4621058,5,0,0,,586,1652336233,381742716,wx250s/base_link,0,1652336233.3817427,0,0,0,0,,0.46513506755665324,0.0034335128538401493,0.14557013031142946,0.05996532715013797,0.048178454499923876,0.7744504890064136,0.6279406310627642,591,1652336233,379689455,wx250s/base_link,0,1652336233.3796895,0,0,0,0,,0.4667335773695935,-0.0018489776155395238,0.1513551802043418,0.04786501363177663,0.05084215685313882,0.7770663749329212,0.6255332641076408,450,1652336233,371999741,wx250s/base_link,0,1652336233.3719997,0,0,0,0,,0.4745775330338272,-0.0010565061846381715,0.15507420641254277,0.045345624870398255,0.03575963382179508,0.779510543093579,0.6237213609457334,0,0,0,,0,1652336233.3778107,0,0,0,0,,0.46881539265335803,0.00017600968455415132,0.15066650564277134,0.05105865521743761,0.04492674839161926,0.777009135677638,0.6257317520387128,2385,1652336233,376450751,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.0076699042692780495, -0.20248547196388245, 0.8528933525085449, 0.010737866163253784, -0.40957286953926086, 0.01840776950120926, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.04796164855360985, 0.04796164855360985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336233.4820602,6,0,0,,587,1652336233,415340424,wx250s/base_link,0,1652336233.4153404,0,0,0,0,,0.4645542509769569,0.004264786768373328,0.13648804035901496,0.07232141346537475,0.05143179251019381,0.7736811290865515,0.6273291754485181,592,1652336233,413288355,wx250s/base_link,0,1652336233.4132884,0,0,0,0,,0.4652096438339267,-0.0012273807497365369,0.14412722301220882,0.06085569723809833,0.06273400354499933,0.7756098067191343,0.6251323512936987,451,1652336233,405598402,wx250s/base_link,0,1652336233.4055984,0,0,0,0,,0.4722632179519412,-0.0005635088079494824,0.14673735018811346,0.05125369684463175,0.03605887626796524,0.778844806984066,0.6240781863164288,0,0,0,,0,1652336233.4114091,0,0,0,0,,0.4673423709209416,0.0008246324035624362,0.14245087118644575,0.06147693584936828,0.05007489077438613,0.776045247596584,0.6255132376862153,2389,1652336233,416463073,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.00920388475060463, -0.19634954631328583, 0.8590292930603027, 0.012271846644580364, -0.4080389142036438, 0.02147573232650757, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.023980824276804924, 0.0959232971072197, 0.07194247096776962, 0.0, 0.0, 0.023980824276804924, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0)"
1652336233.5221307,7,0,0,,588,1652336233,448937893,wx250s/base_link,0,1652336233.448938,0,0,0,0,,0.4633994023131144,0.004875333869967956,0.12642451194920656,0.09803649505583126,0.06450779006606179,0.7702987397012167,0.6267913865654811,593,1652336233,446887493,wx250s/base_link,0,1652336233.4468875,0,0,0,0,,0.46345051788488584,-0.0006406333282583526,0.13484709001881334,0.1065423072522391,0.06239781775283706,0.7708989661222815,0.6248760142113398,452,1652336233,439197302,wx250s/base_link,0,1652336233.4391973,0,0,0,0,,0.47027803188703166,5.48124690170973e-05,0.1360695262984764,0.07723655873869724,0.043022666552216635,0.7746263411146973,0.6262089074807203,0,0,0,,0,1652336233.4450076,0,0,0,0,,0.4657093173616773,0.0014298376702422337,0.13244704275549876,0.09393845368225585,0.05664275812370515,0.7719413489793986,0.6259587694191805,2391,1652336233,436457683,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.010737866163253784, -0.18867963552474976, 0.8620972037315369, 0.016873789951205254, -0.4080389142036438, 0.023009711876511574, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.023980824276804924, 0.14388494193553925, 0.0959232971072197, 0.04796164855360985, 0.0, 0.04796164855360985, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -5.380000114440918, 0.0, 0.0, 0.0)"
1652336233.562096,8,0,0,,589,1652336233,482535839,wx250s/base_link,0,1652336233.4825358,0,0,0,0,,0.4654977362416246,0.004780411165086212,0.12496695554864296,0.11275176566830283,0.07580758857289142,0.7649165848575623,0.6296370915561497,594,1652336233,480486393,wx250s/base_link,0,1652336233.4804864,0,0,0,0,,0.4640007868174197,-0.0007527850581533907,0.1326114607807889,0.12767263907146542,0.07229547429536823,0.76590799628041,0.6259856251246212,453,1652336233,472795963,wx250s/base_link,0,1652336233.472796,0,0,0,0,,0.46902815056325764,-9.089129241632993e-05,0.129680130481519,0.11227473351472976,0.053462356331412185,0.7714715531167916,0.6239934321779798,0,0,0,,0,1652336233.478606,0,0,0,0,,0.46617555787410064,0.0013122449381721638,0.12908618227031696,0.117566379418166,0.06718847306655727,0.767432044751588,0.6265387162862502,2395,1652336233,476413278,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.013805827125906944, -0.1764077991247177, 0.8697671294212341, 0.026077674701809883, -0.40957286953926086, 0.03221359848976135, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.04796164855360985, 0.2877698838710785, 0.16786576807498932, 0.16786576807498932, 0.0, 0.16786576807498932, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -18.829999923706055, 0.0, 0.0, 0.0)"
1652336233.5820894,9,0,0,,590,1652336233,516133547,-1,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,1652336233,514085531,wx250s/base_link,0,1652336233.5140855,0,0,0,0,,0.46950398963291307,-0.000821328291674063,0.1511483650873865,0.1278092482804366,0.033264057361343025,0.7657324018211161,0.6294538802351735,454,1652336233,506394863,wx250s/base_link,0,1652336233.5063949,0,0,0,0,,0.47524769415661394,0.0001945025781959625,0.14689135950553706,0.10105595646807505,0.018209201921874908,0.7726012144077284,0.6265329058584189,0,0,0,,0,1652336233.51024,0,0,0,0,,0.4723758418947635,-0.00031341285673905026,0.14901986229646177,0.11443260237425583,0.025736629641608964,0.7691668081144223,0.6279933930467962,2399,1652336233,516443629,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.016873789951205254, -0.1764077991247177, 0.8636311888694763, 0.0475534051656723, -0.42644667625427246, 0.0475534051656723, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.04796164855360985, 0.21582742035388947, 0.04796164855360985, 0.31175071001052856, -0.14388494193553925, 0.33573153614997864, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -48.42000198364258, 0.0, 0.0, 0.0)"
