Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,cam1_marker.header.seq,cam1_marker.header.stamp.secs,cam1_marker.header.stamp.nsecs,cam1_marker.header.frame_id,cam1_marker.id,cam1_marker.time,cam1_marker.confidence,cam1_marker.pose.header.seq,cam1_marker.pose.header.stamp.secs,cam1_marker.pose.header.stamp.nsecs,cam1_marker.pose.header.frame_id,cam1_marker.pose.pose.position.x,cam1_marker.pose.pose.position.y,cam1_marker.pose.pose.position.z,cam1_marker.pose.pose.orientation.x,cam1_marker.pose.pose.orientation.y,cam1_marker.pose.pose.orientation.z,cam1_marker.pose.pose.orientation.w,cam2_marker.header.seq,cam2_marker.header.stamp.secs,cam2_marker.header.stamp.nsecs,cam2_marker.header.frame_id,cam2_marker.id,cam2_marker.time,cam2_marker.confidence,cam2_marker.pose.header.seq,cam2_marker.pose.header.stamp.secs,cam2_marker.pose.header.stamp.nsecs,cam2_marker.pose.header.frame_id,cam2_marker.pose.pose.position.x,cam2_marker.pose.pose.position.y,cam2_marker.pose.pose.position.z,cam2_marker.pose.pose.orientation.x,cam2_marker.pose.pose.orientation.y,cam2_marker.pose.pose.orientation.z,cam2_marker.pose.pose.orientation.w,cam3_marker.header.seq,cam3_marker.header.stamp.secs,cam3_marker.header.stamp.nsecs,cam3_marker.header.frame_id,cam3_marker.id,cam3_marker.time,cam3_marker.confidence,cam3_marker.pose.header.seq,cam3_marker.pose.header.stamp.secs,cam3_marker.pose.header.stamp.nsecs,cam3_marker.pose.header.frame_id,cam3_marker.pose.pose.position.x,cam3_marker.pose.pose.position.y,cam3_marker.pose.pose.position.z,cam3_marker.pose.pose.orientation.x,cam3_marker.pose.pose.orientation.y,cam3_marker.pose.pose.orientation.z,cam3_marker.pose.pose.orientation.w,avg_marker.header.seq,avg_marker.header.stamp.secs,avg_marker.header.stamp.nsecs,avg_marker.header.frame_id,avg_marker.id,avg_marker.time,avg_marker.confidence,avg_marker.pose.header.seq,avg_marker.pose.header.stamp.secs,avg_marker.pose.header.stamp.nsecs,avg_marker.pose.header.frame_id,avg_marker.pose.pose.position.x,avg_marker.pose.pose.position.y,avg_marker.pose.pose.position.z,avg_marker.pose.pose.orientation.x,avg_marker.pose.pose.orientation.y,avg_marker.pose.pose.orientation.z,avg_marker.pose.pose.orientation.w,joint_states.header.seq,joint_states.header.stamp.secs,joint_states.header.stamp.nsecs,joint_states.header.frame_id,joint_states.name,joint_states.position,joint_states.velocity,joint_states.effort
1652336953.4179409,0,0,0,,376,1652336953,355466843,wx250s/base_link,0,1652336953.3554668,0,0,0,0,,0.46138442310593697,-0.005947858941823333,0.13342475005812582,0.06798057431133384,0.08267025512578355,0.7703862865991026,0.6285294264024435,369,1652336953,350855112,wx250s/base_link,0,1652336953.350855,0,0,0,0,,0.4617931115879121,-0.011560996598964722,0.13861112643850326,0.07720792618605032,0.08742154002654548,0.7698965815331041,0.6274198468466524,238,1652336953,344391346,wx250s/base_link,0,1652336953.3443913,0,0,0,0,,0.4661838459024581,-0.011008306949582117,0.13700902585010372,0.06873188852706959,0.062255638842265676,0.7690930811357238,0.6323733038965219,0,0,0,,0,1652336953.3502376,0,0,0,0,,0.46312046019876907,-0.00950572083012339,0.13634830078224427,0.07130679634148458,0.0774491446648649,0.7697919830893102,0.6294408590485393,1681,1652336953,351357064,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.19328159093856812, 0.8620972037315369, 0.03834952041506767, -0.3834952116012573, -0.03988350182771683, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, -0.04796164855360985, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336953.457921,1,0,0,,377,1652336953,389064074,wx250s/base_link,0,1652336953.389064,0,0,0,0,,0.4616755626460859,-0.005675282414459878,0.13258192818207482,0.06354402207132126,0.08676937780065001,0.768507059683992,0.6307377676585989,370,1652336953,384451628,wx250s/base_link,0,1652336953.3844516,0,0,0,0,,0.4617908917328673,-0.011218349847796086,0.13938883378218825,0.08440990670326609,0.0895947485081024,0.7686543724583443,0.6277086938945364,239,1652336953,377728224,wx250s/base_link,0,1652336953.3777282,0,0,0,0,,0.4672934924451023,-0.010489192649464102,0.13834176009149224,0.06146619347930605,0.06084630171924519,0.772584402114484,0.6289936217766127,0,0,0,,0,1652336953.383748,0,0,0,0,,0.4635866489413519,-0.009127608303906689,0.13677084068525178,0.06980670741796446,0.0790701426759992,0.7699152780856068,0.6291466944432494,1685,1652336953,391311698,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.19328159093856812, 0.8620972037315369, 0.03374757990241051, -0.3834952116012573, -0.03988350182771683, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, -0.07194247096776962, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336953.4977593,2,0,0,,378,1652336953,422661066,wx250s/base_link,0,1652336953.422661,0,0,0,0,,0.46040277535205176,-0.0052173374469549425,0.13341388584869313,0.06547757532362067,0.08667046804484332,0.770044424691606,0.6286751952320062,371,1652336953,418048382,wx250s/base_link,0,1652336953.4180484,0,0,0,0,,0.4615312742215438,-0.010880499211780352,0.13847747757633844,0.07453412876595063,0.10059490860100168,0.7703514656534199,0.625207123582485,240,1652336953,411062717,wx250s/base_link,0,1652336953.4110627,0,0,0,0,,0.46677500688941054,-0.01023146515108616,0.13753925245879495,0.05472260999031796,0.06823460052983915,0.7743041712526112,0.6267395995365123,0,0,0,,0,1652336953.4172573,0,0,0,0,,0.462903018821002,-0.008776433936607151,0.1364768719612755,0.06491143802662976,0.0851666590585614,0.7715666871992123,0.6268739727836677,1687,1652336953,411383568,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.19328159093856812, 0.8620972037315369, 0.03221359848976135, -0.3834952116012573, -0.04141748324036598, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, -0.07194247096776962, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336953.5377905,3,0,0,,379,1652336953,456258297,wx250s/base_link,0,1652336953.4562583,0,0,0,0,,0.46108247760228427,-0.004830149327525903,0.13118406809378347,0.06465915825346102,0.08761126978922444,0.7702388521857197,0.6283912549069242,372,1652336953,451644659,wx250s/base_link,0,1652336953.4516447,0,0,0,0,,0.46116145184591667,-0.010489714942168812,0.1370476892254735,0.04763360297882161,0.11170904341552808,0.7718861564776713,0.6240543974082483,241,1652336953,444394588,wx250s/base_link,0,1652336953.4443946,0,0,0,0,,0.4659064920215122,-0.009874943385555696,0.13593256242843904,0.06148775286029604,0.06680485434129198,0.7733345087971847,0.6274632301482272,0,0,0,,0,1652336953.4507656,0,0,0,0,,0.46271680715657104,-0.008398269218416804,0.13472143991589866,0.05792683803085955,0.08870838918201483,0.7718198391535253,0.6266362941544665,1691,1652336953,451292147,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.19328159093856812, 0.8620972037315369, 0.02761165425181389, -0.38196122646331787, -0.03988350182771683, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, -0.07194247096776962, 0.0, 0.023980824276804924, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1652336953.5580478,4,0,0,,380,1652336953,489855528,wx250s/base_link,0,1652336953.4898555,0,0,0,0,,0.4615932707679685,-0.0042880235969812355,0.1284515272808922,0.06297091889052331,0.09063607184701314,0.7700570224635892,0.6283565452899632,373,1652336953,485241175,wx250s/base_link,0,1652336953.4852412,0,0,0,0,,0.460683103916381,-0.010090258251587589,0.13502695749789895,0.0421076257396751,0.1099610806739576,0.7720710290403529,0.6245332935145681,242,1652336953,477723837,wx250s/base_link,0,1652336953.4777238,0,0,0,0,,0.46503545322592227,-0.00945389586313411,0.133885693844836,0.055123109302151085,0.0755219349829938,0.7757350719068592,0.6240937256301715,0,0,0,,0,1652336953.4842737,0,0,0,0,,0.4624372759700906,-0.007944059237234312,0.1324547262078757,0.05340055131078317,0.09203969583465484,0.7726210411369338,0.6256611881449009,1695,1652336953,491352366,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.19174760580062866, 0.8651651740074158, 0.02454369328916073, -0.3834952116012573, -0.03988350182771683, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.0, 0.0, -0.0959232971072197, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0)"
1652336953.5977304,5,0,0,,381,1652336953,523452520,wx250s/base_link,0,1652336953.5234525,0,0,0,0,,0.4604581461796736,-0.0035269760121545996,0.12665872191865507,0.06461000161604737,0.08913478617720924,0.7727736528433372,0.6250611322546643,374,1652336953,518837690,wx250s/base_link,0,1652336953.5188377,0,0,0,0,,0.46022343451257797,-0.009375138930061082,0.1333868297332933,0.0531814781087829,0.11750898246699343,0.7722252628565067,0.6221185681459251,243,1652336953,511050701,wx250s/base_link,0,1652336953.5110507,0,0,0,0,,0.4660492947426589,-0.008697851988960524,0.1339021715445936,0.05513656709522494,0.06916487532407291,0.7759660215733696,0.6245421621907974,0,0,0,,0,1652336953.5177803,0,0,0,0,,0.46224362514497014,-0.007199988977058734,0.13131590773218066,0.05764268227335173,0.09193621465609186,0.7736549790910713,0.6239072875304623,1697,1652336953,511300790,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.1902136206626892, 0.8666991591453552, 0.023009711876511574, -0.3834952116012573, -0.03988350182771683, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.023980824276804924, 0.023980824276804924, -0.0959232971072197, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0)"
1652336953.617697,6,0,0,,382,1652336953,557049990,wx250s/base_link,0,1652336953.55705,0,0,0,0,,0.46025146751457,-0.0027174533147518738,0.12233200422993457,0.07202228100101456,0.09209315038324435,0.7720992726856939,0.6246553896430598,375,1652336953,552433968,wx250s/base_link,0,1652336953.552434,0,0,0,0,,0.4595537146533417,-0.008631679239768375,0.12930677003725177,0.06961587651355718,0.10400913398342516,0.7722242603615913,0.6229008119229421,244,1652336953,544375181,wx250s/base_link,0,1652336953.5443752,0,0,0,0,,0.4645113305904883,-0.007982299073641237,0.12925238299151565,0.06307044171613142,0.0574278548342524,0.775144443018383,0.6259994036167997,0,0,0,,0,1652336953.5512865,0,0,0,0,,0.46143883758613335,-0.006443810542720495,0.126963719086234,0.06823619974356772,0.0845100464003073,0.7731559920218894,0.6245185350609339,1701,1652336953,551307969,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.006135923322290182, -0.1840776950120926, 0.872835099697113, 0.019941750913858414, -0.3850291967391968, -0.03834952041506767, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.0, 0.07194247096776962, 0.07194247096776962, -0.07194247096776962, 0.0, 0.023980824276804924, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -2.690000057220459, 0.0, 0.0, 0.0)"
1652336953.658139,7,0,0,,383,1652336953,590647221,wx250s/base_link,0,1652336953.5906472,0,0,0,0,,0.46022395098980995,-0.0026912689894625728,0.12223438634102413,0.09110549616781803,0.10246748394475641,0.771985156655583,0.6206763417478565,376,1652336953,586030722,wx250s/base_link,0,1652336953.5860307,0,0,0,0,,0.4596982394154114,-0.008495943488139014,0.12569241378762985,0.08538206594131299,0.10149844336169564,0.772179322575309,0.6214073242229151,245,1652336953,577697039,wx250s/base_link,0,1652336953.577697,0,0,0,0,,0.4631797454690154,-0.007564237318073347,0.12392203288221698,0.08691797585653148,0.053110029039763,0.7738632142035685,0.6251082434194263,0,0,0,,0,1652336953.5847914,0,0,0,0,,0.46103397862474554,-0.006250483265224978,0.12394961100362366,0.08780184598855417,0.08569198544873835,0.7726758978114868,0.6223973031300659,1705,1652336953,591613020,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.00920388475060463, -0.1764077991247177, 0.8789710402488708, 0.02147573232650757, -0.38963112235069275, -0.03528155758976936, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.023980824276804924, 0.14388494193553925, 0.14388494193553925, -0.023980824276804924, -0.023980824276804924, 0.023980824276804924, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -5.380000114440918, 0.0, 0.0, 0.0)"
1652336953.6977725,8,0,0,,384,1652336953,624244452,-1,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,1652336953,619627237,wx250s/base_link,0,1652336953.6196272,0,0,0,0,,0.4632904613120517,-0.009298791869802467,0.13461320284834744,0.10313856600907532,0.0927823750002874,0.7711402359085779,0.6213667223578686,246,1652336953,611016035,wx250s/base_link,0,1652336953.611016,0,0,0,0,,0.46406559430236627,-0.008357550481085566,0.1263554318013559,0.32524530171001514,0.4062382579439953,0.6822726181540564,0.5135075910007549,0,0,0,,0,1652336953.6153216,0,0,0,0,,0.463678027807209,-0.008828171175444016,0.13048431732485166,0.21419193385954524,0.24951031647214136,0.7267064270313172,0.5674371566793117,1707,1652336953,611365505,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.010737866163253784, -0.1764077991247177, 0.8759030699729919, 0.02454369328916073, -0.40036898851394653, -0.03374757990241051, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.04796164855360985, 0.14388494193553925, 0.11990412324666977, 0.0, -0.11990412324666977, 0.04796164855360985, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -8.069999694824219, 0.0, 0.0, 0.0)"
1652336953.7179706,9,0,0,,385,1652336953,657841444,-1,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,1652336953,653223515,wx250s/base_link,0,1652336953.6532235,0,0,0,0,,0.4709965700705547,-0.011018227307163203,0.17479974270433157,0.0839272316720799,0.00957009262489853,0.7793866155442479,0.6208229511072338,247,1652336953,644333124,wx250s/base_link,0,1652336953.6443331,0,0,0,0,,0.4731565343154143,-0.009497665345458199,0.16045150534038144,0.0631773367199842,0.012112425411336277,0.7779926750947571,0.6249714479674479,0,0,0,,0,1652336953.6487784,0,0,0,0,,0.4720765521929845,-0.010257946326310701,0.1676256240223565,0.07355228419603205,0.010841259018117402,0.7786896453195025,0.6228971995373409,1711,1652336953,651333530,,"['waist', 'shoulder', 'elbow', 'forearm_roll', 'wrist_angle', 'wrist_rotate', 'gripper', 'left_finger', 'right_finger']","(0.010737866163253784, -0.19328159093856812, 0.8636311888694763, 0.023009711876511574, -0.452524334192276, -0.03528155758976936, -0.251572847366333, 0.016317667439579964, -0.016317667439579964)","(0.023980824276804924, -0.023980824276804924, -0.04796164855360985, 0.07194247096776962, -0.6235014200210571, 0.023980824276804924, 0.0, 0.0, 0.0)","(0.0, 0.0, -2.690000057220459, 0.0, 0.0, -13.450000762939453, 0.0, 0.0, 0.0)"
